kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,tingkat_pengangguran_terbuka,satuan,tahun
32,JAWA BARAT,3201,KABUPATEN BOGOR,9.11,PERSEN,2019
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,8.05,PERSEN,2019
32,JAWA BARAT,3203,KABUPATEN CIANJUR,9.81,PERSEN,2019
32,JAWA BARAT,3204,KABUPATEN BANDUNG,5.51,PERSEN,2019
32,JAWA BARAT,3205,KABUPATEN GARUT,7.35,PERSEN,2019
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6.31,PERSEN,2019
32,JAWA BARAT,3207,KABUPATEN CIAMIS,5.16,PERSEN,2019
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,9.68,PERSEN,2019
32,JAWA BARAT,3209,KABUPATEN CIREBON,10.35,PERSEN,2019
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,4.37,PERSEN,2019
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,7.7,PERSEN,2019
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,8.35,PERSEN,2019
32,JAWA BARAT,3213,KABUPATEN SUBANG,8.68,PERSEN,2019
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,9.73,PERSEN,2019
32,JAWA BARAT,3215,KABUPATEN KARAWANG,9.68,PERSEN,2019
32,JAWA BARAT,3216,KABUPATEN BEKASI,9.0,PERSEN,2019
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8.24,PERSEN,2019
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,4.52,PERSEN,2019
32,JAWA BARAT,3271,KOTA BOGOR,9.16,PERSEN,2019
32,JAWA BARAT,3272,KOTA SUKABUMI,8.49,PERSEN,2019
32,JAWA BARAT,3273,KOTA BANDUNG,8.18,PERSEN,2019
32,JAWA BARAT,3274,KOTA CIREBON,9.04,PERSEN,2019
32,JAWA BARAT,3275,KOTA BEKASI,8.3,PERSEN,2019
32,JAWA BARAT,3276,KOTA DEPOK,6.12,PERSEN,2019
32,JAWA BARAT,3277,KOTA CIMAHI,8.09,PERSEN,2019
32,JAWA BARAT,3278,KOTA TASIKMALAYA,6.78,PERSEN,2019
32,JAWA BARAT,3279,KOTA BANJAR,6.16,PERSEN,2019
32,JAWA BARAT,3201,KABUPATEN BOGOR,14.29,PERSEN,2020
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,9.6,PERSEN,2020
32,JAWA BARAT,3203,KABUPATEN CIANJUR,11.05,PERSEN,2020
32,JAWA BARAT,3204,KABUPATEN BANDUNG,8.58,PERSEN,2020
32,JAWA BARAT,3205,KABUPATEN GARUT,8.95,PERSEN,2020
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,7.12,PERSEN,2020
32,JAWA BARAT,3207,KABUPATEN CIAMIS,5.66,PERSEN,2020
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,11.22,PERSEN,2020
32,JAWA BARAT,3209,KABUPATEN CIREBON,11.52,PERSEN,2020
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,5.84,PERSEN,2020
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,9.89,PERSEN,2020
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,9.21,PERSEN,2020
32,JAWA BARAT,3213,KABUPATEN SUBANG,9.48,PERSEN,2020
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,11.07,PERSEN,2020
32,JAWA BARAT,3215,KABUPATEN KARAWANG,11.52,PERSEN,2020
32,JAWA BARAT,3216,KABUPATEN BEKASI,11.54,PERSEN,2020
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,12.25,PERSEN,2020
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5.08,PERSEN,2020
32,JAWA BARAT,3271,KOTA BOGOR,12.68,PERSEN,2020
32,JAWA BARAT,3272,KOTA SUKABUMI,12.17,PERSEN,2020
32,JAWA BARAT,3273,KOTA BANDUNG,11.19,PERSEN,2020
32,JAWA BARAT,3274,KOTA CIREBON,10.97,PERSEN,2020
32,JAWA BARAT,3275,KOTA BEKASI,10.68,PERSEN,2020
32,JAWA BARAT,3276,KOTA DEPOK,9.87,PERSEN,2020
32,JAWA BARAT,3277,KOTA CIMAHI,13.3,PERSEN,2020
32,JAWA BARAT,3278,KOTA TASIKMALAYA,7.99,PERSEN,2020
32,JAWA BARAT,3279,KOTA BANJAR,6.73,PERSEN,2020
32,JAWA BARAT,3201,KABUPATEN BOGOR,12.22,PERSEN,2021
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,9.51,PERSEN,2021
32,JAWA BARAT,3203,KABUPATEN CIANJUR,9.32,PERSEN,2021
32,JAWA BARAT,3204,KABUPATEN BANDUNG,8.32,PERSEN,2021
32,JAWA BARAT,3205,KABUPATEN GARUT,8.68,PERSEN,2021
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6.16,PERSEN,2021
32,JAWA BARAT,3207,KABUPATEN CIAMIS,5.06,PERSEN,2021
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,11.68,PERSEN,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,10.38,PERSEN,2021
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,5.71,PERSEN,2021
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,9.18,PERSEN,2021
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,8.3,PERSEN,2021
32,JAWA BARAT,3213,KABUPATEN SUBANG,9.77,PERSEN,2021
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,10.7,PERSEN,2021
32,JAWA BARAT,3215,KABUPATEN KARAWANG,11.83,PERSEN,2021
32,JAWA BARAT,3216,KABUPATEN BEKASI,10.09,PERSEN,2021
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,11.65,PERSEN,2021
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3.25,PERSEN,2021
32,JAWA BARAT,3271,KOTA BOGOR,11.79,PERSEN,2021
32,JAWA BARAT,3272,KOTA SUKABUMI,10.78,PERSEN,2021
32,JAWA BARAT,3273,KOTA BANDUNG,11.46,PERSEN,2021
32,JAWA BARAT,3274,KOTA CIREBON,10.53,PERSEN,2021
32,JAWA BARAT,3275,KOTA BEKASI,10.88,PERSEN,2021
32,JAWA BARAT,3276,KOTA DEPOK,9.76,PERSEN,2021
32,JAWA BARAT,3277,KOTA CIMAHI,13.07,PERSEN,2021
32,JAWA BARAT,3278,KOTA TASIKMALAYA,7.66,PERSEN,2021
32,JAWA BARAT,3279,KOTA BANJAR,6.09,PERSEN,2021
32,JAWA BARAT,3201,KABUPATEN BOGOR,10.64,PERSEN,2022
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,7.77,PERSEN,2022
32,JAWA BARAT,3203,KABUPATEN CIANJUR,8.41,PERSEN,2022
32,JAWA BARAT,3204,KABUPATEN BANDUNG,6.98,PERSEN,2022
32,JAWA BARAT,3205,KABUPATEN GARUT,7.6,PERSEN,2022
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,4.17,PERSEN,2022
32,JAWA BARAT,3207,KABUPATEN CIAMIS,3.75,PERSEN,2022
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,9.81,PERSEN,2022
32,JAWA BARAT,3209,KABUPATEN CIREBON,8.11,PERSEN,2022
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,4.16,PERSEN,2022
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,7.72,PERSEN,2022
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,6.49,PERSEN,2022
32,JAWA BARAT,3213,KABUPATEN SUBANG,7.77,PERSEN,2022
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,8.75,PERSEN,2022
32,JAWA BARAT,3215,KABUPATEN KARAWANG,9.87,PERSEN,2022
32,JAWA BARAT,3216,KABUPATEN BEKASI,10.31,PERSEN,2022
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,9.63,PERSEN,2022
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1.56,PERSEN,2022
32,JAWA BARAT,3271,KOTA BOGOR,10.78,PERSEN,2022
32,JAWA BARAT,3272,KOTA SUKABUMI,8.83,PERSEN,2022
32,JAWA BARAT,3273,KOTA BANDUNG,9.55,PERSEN,2022
32,JAWA BARAT,3274,KOTA CIREBON,8.42,PERSEN,2022
32,JAWA BARAT,3275,KOTA BEKASI,8.81,PERSEN,2022
32,JAWA BARAT,3276,KOTA DEPOK,7.82,PERSEN,2022
32,JAWA BARAT,3277,KOTA CIMAHI,10.77,PERSEN,2022
32,JAWA BARAT,3278,KOTA TASIKMALAYA,6.62,PERSEN,2022
32,JAWA BARAT,3279,KOTA BANJAR,5.53,PERSEN,2022
32,JAWA BARAT,3201,KABUPATEN BOGOR,8.47,PERSEN,2023
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,7.32,PERSEN,2023
